Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Aruba,ABW,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,AFG,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.6,36.1,36.1,47.9,71.4,71.4,71.4,
Angola,AGO,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2,52.2,52.2,52.2,52.2,52.2,52.3,52.3,52.6,52.6,49,48,49.1,49.1,49.1,
Albania,ALB,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6,56.9,46.3,50,44,40.6,38.7,38.8,31.7,31.6,36.9,36.9,37.3,37.3,36.6,
Andorra,AND,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3444444444444,48.9555555555555,45.22,44.21,44.045,43.11,42.295,41.8761904761905,41.5238095238095,42.5761904761905,42.5952380952381,42.1666666666667,42.5047619047619,42.747619047619,42.5142857142857,
Emiratos Árabes Unidos,ARE,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,14.4,14.4,14.4,14.1,14.1,14.1,14.9,14.8,14.8,15.9,15.9,15.9,15.9,15.9,
Argentina,ARG,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3,107.3,107.3,107.3,107.3,107.4,107.4,107.5,119.4,137.4,137.6,106,106,106,106.3,
Armenia,ARM,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,36.6,38.6,38.6,38.6,38.6,38.8,38.8,35.9,20.1,20,18.5,18.5,18.5,22.6,
Samoa Americana,ASM,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,ATG,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,47.6,46.2,46.2,41,41,41,41,40.9,41.6,41.9,41.9,41.9,42.8,43,
Australia,AUS,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,51.1,50.1,50,47.8,47.6,47.3,47.2,47.3,47.4,47.6,47.6,47.5,47.4,47.4,
Austria,AUT,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,51.1,51.1,51.1,51.6,51.3,50.8,52.3,51.9,51.7,51.7,51.6,51.8,51.5,51.4,
Azerbaiyán,AZE,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,42.4,40.9,40.9,40.9,38.9,40,40,39.8,39.8,39.8,39.8,39.8,41.2,40.7,
Burundi,BDI,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.2,280.2,280.2,280.2,280.2,154.9,46.5,46.5,45.2,40.3,40.3,40.1,41.5,41.2,41.2,
